track_id,track_name,artist_s_name,artist_count,released_year,released_month,released_day,release_date_concat,in_spotify_playlists,in_spotify_charts,streams,in_shazam_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,soma_playlists,count_music_artsolo,bpm_categoria,danceability_categoria,valence_categoria,energy_categoria,acousticness_categoria,instrumentalness_categoria,liveness_categoria,speechiness_categoria
2475712,Agudo Mgi,Styrx utku INC Thezth,3,1930,1,1,1930-01-01,323,0,90598517,0,4,0,14,0,130,65,49,80,22,4,7,5,341,0,alta,baixa,baixa,alta,alta,alta,baixa,baixa
6909746,White Christmas,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,3,1942,1,1,1942-01-01,11940,0,395591396,0,73,79,123,0,96,23,19,25,91,0,40,3,12136,0,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa
3087104,The Christmas Song Merry Christmas To You  Remastered 1999,Nat King Cole,1,1946,11,1,1946-11-01,11500,0,389771964,0,140,72,251,0,139,36,22,15,84,0,11,4,11891,2,alta,baixa,baixa,baixa,alta,alta,baixa,baixa
8753775,Let It Snow Let It Snow Let It Snow,Frank Sinatra B Swanson Quartet,2,1950,1,1,1950-01-01,10585,0,473248298,0,126,108,406,0,143,60,86,32,88,0,34,6,11117,0,alta,baixa,alta,baixa,alta,baixa,alta,alta
4002890,A Holly Jolly Christmas  Single Version,Burl Ives,1,1952,1,1,1952-01-01,7930,0,395591396,0,108,120,73,0,140,67,81,36,64,0,15,3,8111,1,alta,baixa,alta,baixa,alta,alta,alta,baixa
6372609,Jingle Bell Rock,Bobby Helms,1,1957,1,1,1957-01-01,10326,0,741301563,2,165,99,104,0,119,74,78,37,84,0,6,3,10595,1,baixa,alta,alta,baixa,alta,alta,baixa,baixa
3092002,Jingle Bells  Remastered 1999,Frank Sinatra,1,1957,1,1,1957-01-01,4326,0,178660459,0,32,3,65,0,175,51,94,34,73,0,10,5,4423,1,alta,baixa,alta,baixa,alta,baixa,baixa,baixa
1291434,Its Beginning to Look a Lot Like Christmas with Mitchell Ayres  His Orchestra,Perry Como The Fontane Sisters Mitchell Ayres  His Orchestra,3,1958,1,1,1958-01-01,6290,0,295998468,0,89,39,158,0,113,73,72,32,77,0,15,5,6537,0,baixa,alta,alta,baixa,alta,alta,alta,baixa
8576945,Rockin Around The Christmas Tree,Brenda Lee,1,1958,1,1,1958-01-01,14994,0,769213520,2,191,168,206,0,140,70,85,41,71,0,45,5,15391,1,alta,alta,alta,baixa,alta,alta,alta,baixa
8597238,Run Rudolph Run  Single Version,Chuck Berry,1,1958,1,1,1958-01-01,8612,0,245350949,1,120,30,52,0,152,69,94,71,79,0,7,8,8784,1,alta,baixa,alta,alta,alta,baixa,baixa,alta
8167749,Deck The Hall  Remastered 1999,Nat King Cole,1,1959,1,1,1959-01-01,3299,0,127027715,0,65,39,41,0,107,69,96,36,81,0,8,4,3405,2,baixa,alta,alta,baixa,alta,alta,baixa,baixa
4277985,Let It Snow Let It Snow Let It Snow,Dean Martin,1,1959,11,16,1959-11-16,6512,0,446390129,0,88,1,277,0,134,45,72,24,91,0,18,4,6877,1,alta,baixa,alta,baixa,alta,alta,alta,baixa
5350503,Its the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,1963-10-14,8879,0,663832097,1,182,107,160,0,202,24,76,60,77,0,12,4,9221,1,alta,baixa,alta,baixa,alta,baixa,baixa,baixa
6900582,Sleigh Ride,The Ronettes,1,1963,11,22,1963-11-22,10114,0,404664135,0,114,74,262,0,92,53,84,77,40,0,32,3,10490,1,baixa,baixa,alta,alta,alta,baixa,alta,baixa
3867590,Christmas Baby Please Come Home,Darlene Love,1,1963,11,22,1963-11-22,9122,0,242767149,0,121,58,212,0,126,34,35,76,39,0,8,5,9455,1,alta,baixa,baixa,alta,alta,baixa,baixa,baixa
6250958,Have You Ever Seen The Rain,Creedence Clearwater Revival,1,1968,7,1,1968-07-01,15890,14,1145727611,167,71,37,653,0,116,74,76,70,7,0,13,3,16614,1,baixa,alta,alta,alta,baixa,alta,alta,baixa
4069645,Feliz Navidad,Jos Felic,1,1970,11,1,1970-11-01,3788,0,520034544,0,21,3,10,0,148,50,96,82,47,0,34,4,3819,1,alta,baixa,alta,alta,alta,baixa,alta,baixa
2148200,Happy Xmas War Is Over,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,4,1971,12,1,1971-12-01,10829,0,460492795,0,130,1,390,0,147,33,39,61,32,0,77,3,11349,0,alta,baixa,baixa,baixa,alta,alta,alta,baixa
1534505,Dream On,Aerosmith,1,1973,1,5,1973-01-05,168,0,838586769,0,0,0,5,0,80,39,24,43,39,0,23,3,173,1,baixa,baixa,baixa,baixa,alta,alta,alta,baixa
8502696,Riptide,Vance Joy,1,1975,1,1,1975-01-01,31123,55,2009094673,0,300,65,1003,1,102,48,50,73,43,0,15,4,32426,1,baixa,baixa,baixa,alta,alta,alta,alta,baixa
3739389,Bohemian Rhapsody  Remastered 2011,Queen,1,1975,10,31,1975-10-31,40112,3,2197010679,17,321,162,5691,8,71,41,23,40,27,0,30,5,46124,1,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa
8476304,Wonderful Christmastime  Edited Version  Remastered 2011,Paul McCartney,1,1979,11,16,1979-11-16,1685,0,403939487,0,1,0,29,0,95,75,74,58,36,0,9,3,1715,1,baixa,alta,alta,baixa,alta,baixa,baixa,baixa
8729578,Pass The Dutchie,Musical Youth,1,1982,1,1,1982-01-01,5328,0,195918494,0,54,76,900,0,151,73,88,67,20,0,32,5,6282,1,alta,alta,alta,alta,alta,alta,alta,baixa
7807270,Miss You,Southstar,1,1982,5,16,1982-05-16,2020,0,154356956,40,77,10,119,0,145,66,24,58,17,0,19,5,2216,1,alta,baixa,baixa,baixa,baixa,baixa,alta,baixa
6552512,Every Breath You Take  Remastered 2003,The Police,1,1983,1,6,1983-01-06,22439,19,1593270737,129,211,74,929,0,117,82,73,45,54,0,7,3,23579,1,baixa,alta,alta,baixa,alta,alta,baixa,baixa
7451979,Take On Me,aha,1,1984,10,19,1984-10-19,44927,17,1479115056,0,34,0,5108,6,84,57,86,90,2,0,9,5,50069,1,baixa,baixa,alta,alta,baixa,baixa,baixa,baixa
3891081,Do They Know Its Christmas  1984 Version,Band Aid,1,1984,11,25,1984-11-25,14169,0,481697415,0,209,30,449,0,115,60,23,57,0,2,27,3,14827,1,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa
7224008,Last Christmas,Wham,1,1984,1,1,1984-01-01,22153,0,1159176109,2,274,111,1302,0,107,74,88,65,28,0,46,3,23729,1,baixa,alta,alta,baixa,alta,baixa,alta,baixa
4738813,Merry Christmas Everyone,Shakin Stevens,1,1984,1,1,1984-01-01,1087,0,351636786,0,90,35,5,0,101,72,91,87,14,0,13,3,1182,1,baixa,alta,alta,alta,baixa,baixa,alta,baixa
1832626,Running Up That Hill A Deal With God,Kate Bush,1,1985,9,16,1985-09-16,21811,0,1024858327,0,117,1,676,3,108,63,20,55,72,0,6,6,22604,1,baixa,baixa,baixa,baixa,alta,baixa,baixa,alta
8965193,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,1985-02-17,41751,25,1205951614,666,101,32,2655,0,112,64,54,81,36,0,11,6,44507,1,baixa,baixa,alta,alta,alta,alta,baixa,alta
1024668,Master of Puppets Remastered,Metallica,1,1986,3,3,1986-03-03,6080,0,704171068,0,112,198,406,1,105,54,59,83,0,44,20,4,6598,1,baixa,baixa,alta,alta,baixa,alta,alta,baixa
6593931,Driving Home for Christmas  2019 Remaster,Chris Rea,1,1986,1,1,1986-01-01,888,0,429504768,0,50,0,6,0,180,51,87,58,36,0,18,4,944,1,alta,baixa,alta,baixa,alta,baixa,alta,baixa
7080917,Sweet Child O Mine,Guns N Roses,1,1987,1,1,1987-01-01,41231,1,1553497987,99,228,151,6720,3,125,45,67,90,9,11,10,5,48179,1,alta,baixa,alta,alta,baixa,alta,baixa,baixa
